id,question_code,question,closed_answer,enps_month
1521,ABC1,I have the resources I need to do my job well,1,10
1522,ABC2,I am able to successfully balance my work and personal life,1,4
1523,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,6
1524,ABC4,I would recommend my direct manager to others,1,9
1525,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,2
1526,ABC6,I have confidence in the leadership team,1,0
1527,ABC7,I have good career opportunities at this organization,1,3
1528,ABC8,The work that I do at this organization is meaningful to me,1,1
1529,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,3
1530,ABC10,I enjoy the colleagues I work with,0,0
1531,ABC1,I have the resources I need to do my job well,0,4
1532,ABC2,I am able to successfully balance my work and personal life,1,6
1533,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,9
1534,ABC4,I would recommend my direct manager to others,1,4
1535,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,10
1536,ABC6,I have confidence in the leadership team,0,10
1537,ABC7,I have good career opportunities at this organization,0,7
1538,ABC8,The work that I do at this organization is meaningful to me,1,6
1539,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,10
1540,ABC10,I enjoy the colleagues I work with,1,8
1541,ABC1,I have the resources I need to do my job well,0,9
1542,ABC2,I am able to successfully balance my work and personal life,0,2
1543,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,4
1544,ABC4,I would recommend my direct manager to others,0,5
1545,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,8
1546,ABC6,I have confidence in the leadership team,1,1
1547,ABC7,I have good career opportunities at this organization,0,9
1548,ABC8,The work that I do at this organization is meaningful to me,1,6
1549,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,0
1550,ABC10,I enjoy the colleagues I work with,0,5
1551,ABC1,I have the resources I need to do my job well,1,3
1552,ABC2,I am able to successfully balance my work and personal life,0,2
1553,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,5
1554,ABC4,I would recommend my direct manager to others,1,5
1555,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,9
1556,ABC6,I have confidence in the leadership team,1,8
1557,ABC7,I have good career opportunities at this organization,1,3
1558,ABC8,The work that I do at this organization is meaningful to me,0,4
1559,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,9
1560,ABC10,I enjoy the colleagues I work with,1,4
1561,ABC1,I have the resources I need to do my job well,1,4
1562,ABC2,I am able to successfully balance my work and personal life,0,3
1563,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,10
1564,ABC4,I would recommend my direct manager to others,1,1
1565,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,2
1566,ABC6,I have confidence in the leadership team,1,9
1567,ABC7,I have good career opportunities at this organization,1,1
1568,ABC8,The work that I do at this organization is meaningful to me,0,10
1569,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,1
1570,ABC10,I enjoy the colleagues I work with,1,8
1571,ABC1,I have the resources I need to do my job well,1,6
1572,ABC2,I am able to successfully balance my work and personal life,0,7
1573,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,5
1574,ABC4,I would recommend my direct manager to others,1,5
1575,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,3
1576,ABC6,I have confidence in the leadership team,0,6
1577,ABC7,I have good career opportunities at this organization,1,2
1578,ABC8,The work that I do at this organization is meaningful to me,0,3
1579,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,4
1580,ABC10,I enjoy the colleagues I work with,0,4
1581,ABC1,I have the resources I need to do my job well,1,3
1582,ABC2,I am able to successfully balance my work and personal life,1,9
1583,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,5
1584,ABC4,I would recommend my direct manager to others,0,1
1585,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,4
1586,ABC6,I have confidence in the leadership team,1,9
1587,ABC7,I have good career opportunities at this organization,1,10
1588,ABC8,The work that I do at this organization is meaningful to me,1,4
1589,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,9
1590,ABC10,I enjoy the colleagues I work with,1,5
1591,ABC1,I have the resources I need to do my job well,0,3
1592,ABC2,I am able to successfully balance my work and personal life,1,8
1593,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,8
1594,ABC4,I would recommend my direct manager to others,0,1
1595,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,9
1596,ABC6,I have confidence in the leadership team,1,9
1597,ABC7,I have good career opportunities at this organization,1,0
1598,ABC8,The work that I do at this organization is meaningful to me,0,3
1599,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,9
1600,ABC10,I enjoy the colleagues I work with,1,3
1601,ABC1,I have the resources I need to do my job well,0,8
1602,ABC2,I am able to successfully balance my work and personal life,1,3
1603,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,7
1604,ABC4,I would recommend my direct manager to others,1,10
1605,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,10
1606,ABC6,I have confidence in the leadership team,0,3
1607,ABC7,I have good career opportunities at this organization,0,8
1608,ABC8,The work that I do at this organization is meaningful to me,0,3
1609,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,9
1610,ABC10,I enjoy the colleagues I work with,0,6
1611,ABC1,I have the resources I need to do my job well,1,2
1612,ABC2,I am able to successfully balance my work and personal life,1,5
1613,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,10
1614,ABC4,I would recommend my direct manager to others,0,6
1615,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,1
1616,ABC6,I have confidence in the leadership team,1,10
1617,ABC7,I have good career opportunities at this organization,0,4
1618,ABC8,The work that I do at this organization is meaningful to me,1,9
1619,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,8
1620,ABC10,I enjoy the colleagues I work with,0,1
1621,ABC1,I have the resources I need to do my job well,1,1
1622,ABC2,I am able to successfully balance my work and personal life,1,9
1623,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,6
1624,ABC4,I would recommend my direct manager to others,1,2
1625,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,9
1626,ABC6,I have confidence in the leadership team,1,10
1627,ABC7,I have good career opportunities at this organization,1,6
1628,ABC8,The work that I do at this organization is meaningful to me,1,8
1629,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,7
1630,ABC10,I enjoy the colleagues I work with,0,3
1631,ABC1,I have the resources I need to do my job well,1,9
1632,ABC2,I am able to successfully balance my work and personal life,1,8
1633,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,7
1634,ABC4,I would recommend my direct manager to others,0,1
1635,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,8
1636,ABC6,I have confidence in the leadership team,1,0
1637,ABC7,I have good career opportunities at this organization,0,5
1638,ABC8,The work that I do at this organization is meaningful to me,0,10
1639,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,9
1640,ABC10,I enjoy the colleagues I work with,1,9
1641,ABC1,I have the resources I need to do my job well,0,3
1642,ABC2,I am able to successfully balance my work and personal life,0,10
1643,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,10
1644,ABC4,I would recommend my direct manager to others,0,5
1645,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,6
1646,ABC6,I have confidence in the leadership team,0,1
1647,ABC7,I have good career opportunities at this organization,0,2
1648,ABC8,The work that I do at this organization is meaningful to me,1,5
1649,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,2
1650,ABC10,I enjoy the colleagues I work with,0,3
1651,ABC1,I have the resources I need to do my job well,1,1
1652,ABC2,I am able to successfully balance my work and personal life,0,10
1653,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,6
1654,ABC4,I would recommend my direct manager to others,0,1
1655,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,7
1656,ABC6,I have confidence in the leadership team,0,3
1657,ABC7,I have good career opportunities at this organization,0,2
1658,ABC8,The work that I do at this organization is meaningful to me,1,1
1659,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,2
1660,ABC10,I enjoy the colleagues I work with,0,8
1661,ABC1,I have the resources I need to do my job well,0,8
1662,ABC2,I am able to successfully balance my work and personal life,1,1
1663,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,10
1664,ABC4,I would recommend my direct manager to others,0,1
1665,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,3
1666,ABC6,I have confidence in the leadership team,1,10
1667,ABC7,I have good career opportunities at this organization,1,9
1668,ABC8,The work that I do at this organization is meaningful to me,0,5
1669,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,3
1670,ABC10,I enjoy the colleagues I work with,1,10
1671,ABC1,I have the resources I need to do my job well,0,8
1672,ABC2,I am able to successfully balance my work and personal life,1,6
1673,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,4
1674,ABC4,I would recommend my direct manager to others,1,3
1675,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,9
1676,ABC6,I have confidence in the leadership team,0,6
1677,ABC7,I have good career opportunities at this organization,1,10
1678,ABC8,The work that I do at this organization is meaningful to me,1,3
1679,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,3
1680,ABC10,I enjoy the colleagues I work with,1,1
1681,ABC1,I have the resources I need to do my job well,0,6
1682,ABC2,I am able to successfully balance my work and personal life,1,9
1683,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,4
1684,ABC4,I would recommend my direct manager to others,1,1
1685,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,5
1686,ABC6,I have confidence in the leadership team,1,5
1687,ABC7,I have good career opportunities at this organization,1,2
1688,ABC8,The work that I do at this organization is meaningful to me,1,1
1689,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,5
1690,ABC10,I enjoy the colleagues I work with,0,8
1691,ABC1,I have the resources I need to do my job well,1,2
1692,ABC2,I am able to successfully balance my work and personal life,0,9
1693,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,2
1694,ABC4,I would recommend my direct manager to others,1,5
1695,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,6
1696,ABC6,I have confidence in the leadership team,1,10
1697,ABC7,I have good career opportunities at this organization,1,8
1698,ABC8,The work that I do at this organization is meaningful to me,1,3
1699,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,0
1700,ABC10,I enjoy the colleagues I work with,0,9
1701,ABC1,I have the resources I need to do my job well,0,3
1702,ABC2,I am able to successfully balance my work and personal life,1,1
1703,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,2
1704,ABC4,I would recommend my direct manager to others,1,5
1705,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,7
1706,ABC6,I have confidence in the leadership team,0,1
1707,ABC7,I have good career opportunities at this organization,1,10
1708,ABC8,The work that I do at this organization is meaningful to me,0,0
1709,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,6
1710,ABC10,I enjoy the colleagues I work with,0,7
1711,ABC1,I have the resources I need to do my job well,1,8
1712,ABC2,I am able to successfully balance my work and personal life,0,9
1713,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,1
1714,ABC4,I would recommend my direct manager to others,1,2
1715,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,5
1716,ABC6,I have confidence in the leadership team,0,0
1717,ABC7,I have good career opportunities at this organization,1,8
1718,ABC8,The work that I do at this organization is meaningful to me,1,4
1719,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,5
1720,ABC10,I enjoy the colleagues I work with,0,0
1721,ABC1,I have the resources I need to do my job well,0,4
1722,ABC2,I am able to successfully balance my work and personal life,1,2
1723,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,5
1724,ABC4,I would recommend my direct manager to others,0,10
1725,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,10
1726,ABC6,I have confidence in the leadership team,0,7
1727,ABC7,I have good career opportunities at this organization,0,0
1728,ABC8,The work that I do at this organization is meaningful to me,1,7
1729,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,3
1730,ABC10,I enjoy the colleagues I work with,1,1
1731,ABC1,I have the resources I need to do my job well,1,7
1732,ABC2,I am able to successfully balance my work and personal life,0,1
1733,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,6
1734,ABC4,I would recommend my direct manager to others,1,7
1735,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,6
1736,ABC6,I have confidence in the leadership team,1,10
1737,ABC7,I have good career opportunities at this organization,0,7
1738,ABC8,The work that I do at this organization is meaningful to me,1,2
1739,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,0
1740,ABC10,I enjoy the colleagues I work with,0,0
1741,ABC1,I have the resources I need to do my job well,1,2
1742,ABC2,I am able to successfully balance my work and personal life,1,0
1743,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,5
1744,ABC4,I would recommend my direct manager to others,0,6
1745,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,9
1746,ABC6,I have confidence in the leadership team,1,5
1747,ABC7,I have good career opportunities at this organization,1,8
1748,ABC8,The work that I do at this organization is meaningful to me,0,9
1749,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,6
1750,ABC10,I enjoy the colleagues I work with,0,2
1751,ABC1,I have the resources I need to do my job well,1,7
1752,ABC2,I am able to successfully balance my work and personal life,0,3
1753,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,4
1754,ABC4,I would recommend my direct manager to others,1,3
1755,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,4
1756,ABC6,I have confidence in the leadership team,0,4
1757,ABC7,I have good career opportunities at this organization,0,2
1758,ABC8,The work that I do at this organization is meaningful to me,1,5
1759,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,4
1760,ABC10,I enjoy the colleagues I work with,1,1
1761,ABC1,I have the resources I need to do my job well,1,8
1762,ABC2,I am able to successfully balance my work and personal life,0,7
1763,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,10
1764,ABC4,I would recommend my direct manager to others,1,5
1765,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,3
1766,ABC6,I have confidence in the leadership team,0,4
1767,ABC7,I have good career opportunities at this organization,0,5
1768,ABC8,The work that I do at this organization is meaningful to me,1,3
1769,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,9
1770,ABC10,I enjoy the colleagues I work with,1,9
1771,ABC1,I have the resources I need to do my job well,0,5
1772,ABC2,I am able to successfully balance my work and personal life,0,0
1773,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,4
1774,ABC4,I would recommend my direct manager to others,0,5
1775,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,0
1776,ABC6,I have confidence in the leadership team,1,1
1777,ABC7,I have good career opportunities at this organization,1,6
1778,ABC8,The work that I do at this organization is meaningful to me,1,9
1779,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,10
1780,ABC10,I enjoy the colleagues I work with,1,1
1781,ABC1,I have the resources I need to do my job well,0,0
1782,ABC2,I am able to successfully balance my work and personal life,0,6
1783,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,4
1784,ABC4,I would recommend my direct manager to others,0,10
1785,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,9
1786,ABC6,I have confidence in the leadership team,1,5
1787,ABC7,I have good career opportunities at this organization,0,6
1788,ABC8,The work that I do at this organization is meaningful to me,1,4
1789,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,4
1790,ABC10,I enjoy the colleagues I work with,1,4
1791,ABC1,I have the resources I need to do my job well,1,1
1792,ABC2,I am able to successfully balance my work and personal life,0,7
1793,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,2
1794,ABC4,I would recommend my direct manager to others,1,3
1795,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,9
1796,ABC6,I have confidence in the leadership team,1,8
1797,ABC7,I have good career opportunities at this organization,0,1
1798,ABC8,The work that I do at this organization is meaningful to me,1,6
1799,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,1
1800,ABC10,I enjoy the colleagues I work with,1,4
1801,ABC1,I have the resources I need to do my job well,1,0
1802,ABC2,I am able to successfully balance my work and personal life,0,2
1803,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,1
1804,ABC4,I would recommend my direct manager to others,1,10
1805,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,0
1806,ABC6,I have confidence in the leadership team,1,7
1807,ABC7,I have good career opportunities at this organization,0,4
1808,ABC8,The work that I do at this organization is meaningful to me,1,6
1809,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,8
1810,ABC10,I enjoy the colleagues I work with,0,9
1811,ABC1,I have the resources I need to do my job well,0,2
1812,ABC2,I am able to successfully balance my work and personal life,1,9
1813,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,6
1814,ABC4,I would recommend my direct manager to others,0,10
1815,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,1
1816,ABC6,I have confidence in the leadership team,1,6
1817,ABC7,I have good career opportunities at this organization,0,2
1818,ABC8,The work that I do at this organization is meaningful to me,0,5
1819,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,3
1820,ABC10,I enjoy the colleagues I work with,1,4
1821,ABC1,I have the resources I need to do my job well,1,9
1822,ABC2,I am able to successfully balance my work and personal life,1,8
1823,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,3
1824,ABC4,I would recommend my direct manager to others,0,5
1825,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,6
1826,ABC6,I have confidence in the leadership team,0,5
1827,ABC7,I have good career opportunities at this organization,0,8
1828,ABC8,The work that I do at this organization is meaningful to me,0,9
1829,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,6
1830,ABC10,I enjoy the colleagues I work with,1,5
1831,ABC1,I have the resources I need to do my job well,0,1
1832,ABC2,I am able to successfully balance my work and personal life,1,5
1833,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,8
1834,ABC4,I would recommend my direct manager to others,0,10
1835,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,6
1836,ABC6,I have confidence in the leadership team,0,1
1837,ABC7,I have good career opportunities at this organization,1,6
1838,ABC8,The work that I do at this organization is meaningful to me,1,0
1839,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,5
1840,ABC10,I enjoy the colleagues I work with,1,6
1841,ABC1,I have the resources I need to do my job well,1,4
1842,ABC2,I am able to successfully balance my work and personal life,0,9
1843,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,7
1844,ABC4,I would recommend my direct manager to others,0,7
1845,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,4
1846,ABC6,I have confidence in the leadership team,0,8
1847,ABC7,I have good career opportunities at this organization,0,6
1848,ABC8,The work that I do at this organization is meaningful to me,1,0
1849,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,8
1850,ABC10,I enjoy the colleagues I work with,0,10
1851,ABC1,I have the resources I need to do my job well,0,10
1852,ABC2,I am able to successfully balance my work and personal life,0,3
1853,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,8
1854,ABC4,I would recommend my direct manager to others,0,2
1855,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,1
1856,ABC6,I have confidence in the leadership team,0,2
1857,ABC7,I have good career opportunities at this organization,0,4
1858,ABC8,The work that I do at this organization is meaningful to me,1,2
1859,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,4
1860,ABC10,I enjoy the colleagues I work with,0,1
1861,ABC1,I have the resources I need to do my job well,0,4
1862,ABC2,I am able to successfully balance my work and personal life,1,9
1863,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,8
1864,ABC4,I would recommend my direct manager to others,0,3
1865,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,0
1866,ABC6,I have confidence in the leadership team,0,4
1867,ABC7,I have good career opportunities at this organization,0,9
1868,ABC8,The work that I do at this organization is meaningful to me,1,7
1869,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,2
1870,ABC10,I enjoy the colleagues I work with,1,4
1871,ABC1,I have the resources I need to do my job well,0,1
1872,ABC2,I am able to successfully balance my work and personal life,1,1
1873,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,5
1874,ABC4,I would recommend my direct manager to others,0,5
1875,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,2
1876,ABC6,I have confidence in the leadership team,1,1
1877,ABC7,I have good career opportunities at this organization,0,6
1878,ABC8,The work that I do at this organization is meaningful to me,1,9
1879,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,4
1880,ABC10,I enjoy the colleagues I work with,0,10
1881,ABC1,I have the resources I need to do my job well,1,7
1882,ABC2,I am able to successfully balance my work and personal life,1,4
1883,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,6
1884,ABC4,I would recommend my direct manager to others,0,10
1885,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,2
1886,ABC6,I have confidence in the leadership team,0,8
1887,ABC7,I have good career opportunities at this organization,1,1
1888,ABC8,The work that I do at this organization is meaningful to me,1,7
1889,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,5
1890,ABC10,I enjoy the colleagues I work with,0,8
1891,ABC1,I have the resources I need to do my job well,0,5
1892,ABC2,I am able to successfully balance my work and personal life,1,7
1893,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,3
1894,ABC4,I would recommend my direct manager to others,0,0
1895,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,4
1896,ABC6,I have confidence in the leadership team,1,6
1897,ABC7,I have good career opportunities at this organization,0,3
1898,ABC8,The work that I do at this organization is meaningful to me,0,0
1899,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,3
1900,ABC10,I enjoy the colleagues I work with,1,6
1901,ABC1,I have the resources I need to do my job well,0,3
1902,ABC2,I am able to successfully balance my work and personal life,1,4
1903,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,4
1904,ABC4,I would recommend my direct manager to others,0,2
1905,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,6
1906,ABC6,I have confidence in the leadership team,0,4
1907,ABC7,I have good career opportunities at this organization,1,0
1908,ABC8,The work that I do at this organization is meaningful to me,0,8
1909,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,9
1910,ABC10,I enjoy the colleagues I work with,0,4
1911,ABC1,I have the resources I need to do my job well,0,2
1912,ABC2,I am able to successfully balance my work and personal life,1,0
1913,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,7
1914,ABC4,I would recommend my direct manager to others,1,6
1915,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,4
1916,ABC6,I have confidence in the leadership team,0,7
1917,ABC7,I have good career opportunities at this organization,1,9
1918,ABC8,The work that I do at this organization is meaningful to me,0,7
1919,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,4
1920,ABC10,I enjoy the colleagues I work with,0,0
1921,ABC1,I have the resources I need to do my job well,1,5
1922,ABC2,I am able to successfully balance my work and personal life,1,9
1923,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,2
1924,ABC4,I would recommend my direct manager to others,0,4
1925,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,2
1926,ABC6,I have confidence in the leadership team,1,4
1927,ABC7,I have good career opportunities at this organization,1,6
1928,ABC8,The work that I do at this organization is meaningful to me,1,5
1929,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,7
1930,ABC10,I enjoy the colleagues I work with,0,8
1931,ABC1,I have the resources I need to do my job well,0,6
1932,ABC2,I am able to successfully balance my work and personal life,1,9
1933,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,2
1934,ABC4,I would recommend my direct manager to others,1,10
1935,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,3
1936,ABC6,I have confidence in the leadership team,0,5
1937,ABC7,I have good career opportunities at this organization,1,3
1938,ABC8,The work that I do at this organization is meaningful to me,0,0
1939,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,3
1940,ABC10,I enjoy the colleagues I work with,1,0
1941,ABC1,I have the resources I need to do my job well,1,1
1942,ABC2,I am able to successfully balance my work and personal life,1,2
1943,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,9
1944,ABC4,I would recommend my direct manager to others,0,0
1945,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,8
1946,ABC6,I have confidence in the leadership team,0,2
1947,ABC7,I have good career opportunities at this organization,0,3
1948,ABC8,The work that I do at this organization is meaningful to me,0,8
1949,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,9
1950,ABC10,I enjoy the colleagues I work with,0,7
1951,ABC1,I have the resources I need to do my job well,1,5
1952,ABC2,I am able to successfully balance my work and personal life,1,9
1953,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,8
1954,ABC4,I would recommend my direct manager to others,0,6
1955,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,5
1956,ABC6,I have confidence in the leadership team,0,1
1957,ABC7,I have good career opportunities at this organization,0,4
1958,ABC8,The work that I do at this organization is meaningful to me,1,8
1959,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,5
1960,ABC10,I enjoy the colleagues I work with,0,6
1961,ABC1,I have the resources I need to do my job well,1,5
1962,ABC2,I am able to successfully balance my work and personal life,1,7
1963,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,4
1964,ABC4,I would recommend my direct manager to others,0,5
1965,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,4
1966,ABC6,I have confidence in the leadership team,1,2
1967,ABC7,I have good career opportunities at this organization,1,7
1968,ABC8,The work that I do at this organization is meaningful to me,0,2
1969,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,9
1970,ABC10,I enjoy the colleagues I work with,0,0
1971,ABC1,I have the resources I need to do my job well,0,1
1972,ABC2,I am able to successfully balance my work and personal life,1,9
1973,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,10
1974,ABC4,I would recommend my direct manager to others,1,5
1975,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,7
1976,ABC6,I have confidence in the leadership team,1,6
1977,ABC7,I have good career opportunities at this organization,1,5
1978,ABC8,The work that I do at this organization is meaningful to me,0,3
1979,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,0
1980,ABC10,I enjoy the colleagues I work with,1,5
1981,ABC1,I have the resources I need to do my job well,0,9
1982,ABC2,I am able to successfully balance my work and personal life,1,6
1983,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,10
1984,ABC4,I would recommend my direct manager to others,1,2
1985,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,6
1986,ABC6,I have confidence in the leadership team,0,1
1987,ABC7,I have good career opportunities at this organization,0,10
1988,ABC8,The work that I do at this organization is meaningful to me,1,10
1989,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,8
1990,ABC10,I enjoy the colleagues I work with,0,0
1991,ABC1,I have the resources I need to do my job well,0,6
1992,ABC2,I am able to successfully balance my work and personal life,1,0
1993,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,8
1994,ABC4,I would recommend my direct manager to others,1,7
1995,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,4
1996,ABC6,I have confidence in the leadership team,1,2
1997,ABC7,I have good career opportunities at this organization,1,5
1998,ABC8,The work that I do at this organization is meaningful to me,1,2
1999,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,5
2000,ABC10,I enjoy the colleagues I work with,1,6
2001,ABC10,I enjoy the colleagues I work with,1,8
2002,ABC10,I enjoy the colleagues I work with,0,7
2003,ABC10,I enjoy the colleagues I work with,1,6
2004,ABC10,I enjoy the colleagues I work with,1,2
2005,ABC10,I enjoy the colleagues I work with,0,5
2006,ABC10,I enjoy the colleagues I work with,1,9
2007,ABC10,I enjoy the colleagues I work with,0,5
2008,ABC10,I enjoy the colleagues I work with,1,6
2009,ABC10,I enjoy the colleagues I work with,1,3
2010,ABC10,I enjoy the colleagues I work with,1,6
2011,ABC10,I enjoy the colleagues I work with,0,5
